subdivision,year,jan,feb,mar,apr,may,jun,ju;,aug,sep,oct,nov,dec,annual_rainfall_mm,state_name
Bihar,2013,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0,1069.9,BIHAR
Bihar,2014,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.2,1061,BIHAR
Bihar,2015,12.8,1.8,27.2,38.7,39.5,122.1,231.5,287,101.7,10.4,0,0,872.7,BIHAR
Bihar,2016,9.3,0.6,5.6,3.9,84,128.7,356.4,150.8,357.9,60.8,0,0,1158,BIHAR
Bihar,2017,0.7,0,22.8,21.8,79.7,84.6,379.9,342.8,129.6,50.1,0,0,1112,BIHAR
East Uttar Pradesh,2010,2.2,10,0,0,14.7,23.9,220.8,215.9,184.5,15.5,4.5,0.1,692.2,UTTAR PRADESH
East Uttar Pradesh,2011,1,2.7,1.6,2.9,32.2,163.8,197.9,232.1,146.4,0.6,0,0,781.2,UTTAR PRADESH
East Uttar Pradesh,2012,20.3,1.2,3.4,2.8,0.2,18.5,234.2,156,164.4,0.7,0.3,0.7,602.7,UTTAR PRADESH
East Uttar Pradesh,2013,6.1,59.6,2.7,8.7,1.1,309.7,230,246.1,78.2,97.4,0.5,1.1,1041.4,UTTAR PRADESH
East Uttar Pradesh,2014,47.4,25.8,15.4,1.7,10.7,47.8,224.5,138.1,106.7,74.7,0,8.4,701.2,UTTAR PRADESH
East Uttar Pradesh,2015,30,4.1,48.2,23.2,8.6,95.3,179,175.8,21.9,11.8,0.5,4.9,603.3,UTTAR PRADESH
East Uttar Pradesh,2016,5.3,1.3,9.5,0,39.3,77.1,338.1,224.4,150.7,25.9,0,0,871.7,UTTAR PRADESH
East Uttar Pradesh,2017,9.7,0.1,4.3,2,25.8,50.8,328.9,185.1,85.2,3,0,0,695,UTTAR PRADESH
West Uttar Pradesh,2010,3.2,13.7,0.2,0.4,9.3,12.5,282,213.8,263.9,4.7,12.8,4.1,820.7,UTTAR PRADESH
West Uttar Pradesh,2011,2.1,10.4,3.9,2.8,29.6,175.9,215.9,232.3,101.7,0.7,0.5,1.5,777.4,UTTAR PRADESH
