year,State Code,state_name,Dist Name,Crop,area_1000_ha,production_1000_tons,yield_kg_per_ha
2015,14,CHHATTISGARH,Raipur,GROUNDNUT,7.06,8.63,1222.38
2015,14,CHHATTISGARH,Raipur,OILSEEDS,13.79,11.36,823.79
2015,14,CHHATTISGARH,Raipur,RAPESEED AND MUSTARD,2.93,1.7,580.2
2015,14,CHHATTISGARH,Raipur,RICE,986.91,1412.83,1431.57
2015,14,CHHATTISGARH,Raipur,SAFFLOWER,0.11,0.03,272.73
2015,14,CHHATTISGARH,Raipur,SESAMUM,2.29,0.97,423.58
2015,14,CHHATTISGARH,Raipur,SOYABEAN,0.41,0.35,874.38
2015,14,CHHATTISGARH,Raipur,SUGARCANE,0.3,0.09,297.3
2015,14,CHHATTISGARH,Raipur,SUNFLOWER,0.48,0.23,479.17
2015,14,CHHATTISGARH,Raipur,WHEAT,10.99,19.3,1756.14
2016,14,CHHATTISGARH,Raipur,COTTON,0.01,0.01,408
2016,14,CHHATTISGARH,Raipur,GROUNDNUT,4.7,8.14,1733.76
2016,14,CHHATTISGARH,Raipur,OILSEEDS,0,0,0
2016,14,CHHATTISGARH,Raipur,RAPESEED AND MUSTARD,2.57,1.24,480.19
2016,14,CHHATTISGARH,Raipur,RICE,1009.29,2432.48,2410.09
2016,14,CHHATTISGARH,Raipur,SAFFLOWER,0.08,0.03,333.33
2016,14,CHHATTISGARH,Raipur,SESAMUM,1.69,0.7,412.43
2016,14,CHHATTISGARH,Raipur,SOYABEAN,0.38,0.43,1115.49
2016,14,CHHATTISGARH,Raipur,SUGARCANE,0.34,0.07,201.17
2016,14,CHHATTISGARH,Raipur,SUNFLOWER,0.33,0,0
2016,14,CHHATTISGARH,Raipur,WHEAT,8.8,17.95,2038.28
2017,14,CHHATTISGARH,Raipur,COTTON,0.03,0.01,360
2017,14,CHHATTISGARH,Raipur,GROUNDNUT,4.87,5.34,1097.62
2017,14,CHHATTISGARH,Raipur,OILSEEDS,0,0,0
2017,14,CHHATTISGARH,Raipur,RAPESEED AND MUSTARD,3.85,1.7,442.65
2017,14,CHHATTISGARH,Raipur,RICE,959.01,1520.95,1585.96
2017,14,CHHATTISGARH,Raipur,SAFFLOWER,0.05,0.02,320.75
2017,14,CHHATTISGARH,Raipur,SESAMUM,1.52,0.43,283.45
2017,14,CHHATTISGARH,Raipur,SOYABEAN,0.15,0.09,558.44
2017,14,CHHATTISGARH,Raipur,SUGARCANE,0.27,0.05,174.91
2017,14,CHHATTISGARH,Raipur,SUNFLOWER,0.14,0,0
2017,14,CHHATTISGARH,Raipur,WHEAT,14.56,23.66,1625.61
2010,14,CHHATTISGARH,Bilaspur,COTTON,0,0,0
2010,14,CHHATTISGARH,Bilaspur,GROUNDNUT,5.89,10.34,1757.26
2010,14,CHHATTISGARH,Bilaspur,OILSEEDS,38.95,34.37,882.56
2010,14,CHHATTISGARH,Bilaspur,RAPESEED AND MUSTARD,6.31,2.23,353.78
2010,14,CHHATTISGARH,Bilaspur,RICE,705.67,1333.61,1889.83
2010,14,CHHATTISGARH,Bilaspur,SAFFLOWER,0.3,0.1,333.33
2010,14,CHHATTISGARH,Bilaspur,SESAMUM,3.57,1.17,327.08
2010,14,CHHATTISGARH,Bilaspur,SOYABEAN,13.93,18.19,1305.61
2010,14,CHHATTISGARH,Bilaspur,SUGARCANE,1.18,0.27,232.46
2010,14,CHHATTISGARH,Bilaspur,SUNFLOWER,0.46,0.19,413.04
2010,14,CHHATTISGARH,Bilaspur,WHEAT,24.88,30.13,1210.79
2011,14,CHHATTISGARH,Bilaspur,COTTON,0,0,0
2011,14,CHHATTISGARH,Bilaspur,GROUNDNUT,3.03,4.29,1415.05
2011,14,CHHATTISGARH,Bilaspur,OILSEEDS,35.34,24.82,702.35
2011,14,CHHATTISGARH,Bilaspur,RAPESEED AND MUSTARD,6.4,2.54,397.2
2011,14,CHHATTISGARH,Bilaspur,RICE,749.08,1557.35,2079.01
2011,14,CHHATTISGARH,Bilaspur,SAFFLOWER,0.13,0.05,376.22
2011,14,CHHATTISGARH,Bilaspur,SESAMUM,3.14,1.12,355.75
2011,14,CHHATTISGARH,Bilaspur,SOYABEAN,15.56,14.29,918.21
2011,14,CHHATTISGARH,Bilaspur,SUGARCANE,1.05,0.69,657.17
2011,14,CHHATTISGARH,Bilaspur,SUNFLOWER,0.41,0.19,463.41
2011,14,CHHATTISGARH,Bilaspur,WHEAT,19.08,26.28,1377.75
2012,14,CHHATTISGARH,Bilaspur,COTTON,0,0,0
2012,14,CHHATTISGARH,Bilaspur,GROUNDNUT,3,4.07,1356.29
2012,14,CHHATTISGARH,Bilaspur,OILSEEDS,36.12,33.55,928.85
2012,14,CHHATTISGARH,Bilaspur,RAPESEED AND MUSTARD,5.72,2.34,409.38
2012,14,CHHATTISGARH,Bilaspur,RICE,747.27,1746.82,2337.61
2012,14,CHHATTISGARH,Bilaspur,SAFFLOWER,0.17,0.06,347.02
2012,14,CHHATTISGARH,Bilaspur,SESAMUM,3.12,0.86,275.97
2012,14,CHHATTISGARH,Bilaspur,SOYABEAN,15.85,23.47,1481.15
2012,14,CHHATTISGARH,Bilaspur,SUGARCANE,1.26,0.3,240.21
2012,14,CHHATTISGARH,Bilaspur,SUNFLOWER,0.38,0.17,447.37
2012,14,CHHATTISGARH,Bilaspur,WHEAT,18.7,27.31,1460.32
2013,14,CHHATTISGARH,Bilaspur,COTTON,0,0,0
2013,14,CHHATTISGARH,Bilaspur,GROUNDNUT,2.98,4.13,1388.65
2013,14,CHHATTISGARH,Bilaspur,OILSEEDS,35.07,28.99,826.73
2013,14,CHHATTISGARH,Bilaspur,RAPESEED AND MUSTARD,5.57,2.66,478.53
2013,14,CHHATTISGARH,Bilaspur,RICE,726.15,1577.16,2171.95
2013,14,CHHATTISGARH,Bilaspur,SAFFLOWER,0.14,0.1,714.29
2013,14,CHHATTISGARH,Bilaspur,SESAMUM,3.12,0.78,249.09
2013,14,CHHATTISGARH,Bilaspur,SOYABEAN,15.07,18.59,1233.7
2013,14,CHHATTISGARH,Bilaspur,SUGARCANE,1.49,0.36,237.88
2013,14,CHHATTISGARH,Bilaspur,SUNFLOWER,0.37,0,0
2013,14,CHHATTISGARH,Bilaspur,WHEAT,19.88,26.97,1356.73
2014,14,CHHATTISGARH,Bilaspur,COTTON,0,0,0
2014,14,CHHATTISGARH,Bilaspur,GROUNDNUT,2.94,4.13,1404.76
2014,14,CHHATTISGARH,Bilaspur,OILSEEDS,34.82,20.23,581.06
2014,14,CHHATTISGARH,Bilaspur,RAPESEED AND MUSTARD,5.8,2.6,447.27
2014,14,CHHATTISGARH,Bilaspur,RICE,728.84,1683.92,2310.43
2014,14,CHHATTISGARH,Bilaspur,SAFFLOWER,0.19,0.07,368.42
2014,14,CHHATTISGARH,Bilaspur,SESAMUM,3.05,1.34,438.87
2014,14,CHHATTISGARH,Bilaspur,SOYABEAN,16.48,9.6,582.25
2014,14,CHHATTISGARH,Bilaspur,SUGARCANE,1.86,1.18,633.11
2014,14,CHHATTISGARH,Bilaspur,SUNFLOWER,0.35,0.17,485.71
2014,14,CHHATTISGARH,Bilaspur,WHEAT,18.11,28.15,1554.83
2015,14,CHHATTISGARH,Bilaspur,COTTON,0,0,0
2015,14,CHHATTISGARH,Bilaspur,GROUNDNUT,2.85,3.9,1370.52
2015,14,CHHATTISGARH,Bilaspur,OILSEEDS,32.94,18.29,555.1
2015,14,CHHATTISGARH,Bilaspur,RAPESEED AND MUSTARD,5.5,2.54,461.88
2015,14,CHHATTISGARH,Bilaspur,RICE,731.83,1340.65,1831.92
2015,14,CHHATTISGARH,Bilaspur,SAFFLOWER,0.24,0.11,458.33
2015,14,CHHATTISGARH,Bilaspur,SESAMUM,2.88,1.02,352.01
2015,14,CHHATTISGARH,Bilaspur,SOYABEAN,16.24,9.07,558.26
2015,14,CHHATTISGARH,Bilaspur,SUGARCANE,4.29,0.96,224.31
2015,14,CHHATTISGARH,Bilaspur,SUNFLOWER,0.35,0.18,514.29
2015,14,CHHATTISGARH,Bilaspur,WHEAT,17.82,27.03,1516.74
2016,14,CHHATTISGARH,Bilaspur,COTTON,0,0,0
2016,14,CHHATTISGARH,Bilaspur,GROUNDNUT,2.79,5.23,1872.89
2016,14,CHHATTISGARH,Bilaspur,OILSEEDS,0,0,0
2016,14,CHHATTISGARH,Bilaspur,RAPESEED AND MUSTARD,4.95,1.96,394.97
2016,14,CHHATTISGARH,Bilaspur,RICE,727.5,1858.19,2554.21
2016,14,CHHATTISGARH,Bilaspur,SAFFLOWER,0.04,0.02,380.95
2016,14,CHHATTISGARH,Bilaspur,SESAMUM,2.74,1.05,384.52
2016,14,CHHATTISGARH,Bilaspur,SOYABEAN,14.01,14.19,1012.86
2016,14,CHHATTISGARH,Bilaspur,SUGARCANE,6.5,2.77,426.57
2016,14,CHHATTISGARH,Bilaspur,SUNFLOWER,0.34,0,0
2016,14,CHHATTISGARH,Bilaspur,WHEAT,16.2,25.1,1549.23
2017,14,CHHATTISGARH,Bilaspur,COTTON,0,0,0
2017,14,CHHATTISGARH,Bilaspur,GROUNDNUT,2.38,3.58,1504.8
2017,14,CHHATTISGARH,Bilaspur,OILSEEDS,0,0,0
2017,14,CHHATTISGARH,Bilaspur,RAPESEED AND MUSTARD,4.44,1.68,377.81
2017,14,CHHATTISGARH,Bilaspur,RICE,727.94,1295.71,1779.97
2017,14,CHHATTISGARH,Bilaspur,SAFFLOWER,0.11,0.03,292.04
